audit_id,role,nct_id,registry_link,endpoint_title,extracted_responders,extracted_denominator,human_strict_orr,human_actual_endpoint_type,auditor_notes
R4-01,component,NCT03301350,https://clinicaltrials.gov/study/NCT03301350,Number and Percentage of Participants With Pathologic Complete Response (pCR) Rate,8.0,24.0,,,
R4-02,query,NCT02342275,https://clinicaltrials.gov/study/NCT02342275,The Primary Outcome Measure Was Any Response at 6 Months,178,190,,,
R4-03,component,NCT01441947,https://clinicaltrials.gov/study/NCT01441947,Bone Scan Response Rate,20.0,52.0,,,
R4-04,component,NCT01274351,https://clinicaltrials.gov/study/NCT01274351,Percentage of Participants Who Achieved Major Molecular Response (MMR) During the First 12 Months,74.0,112.0,,,
R4-05,query,NCT02471716,https://clinicaltrials.gov/study/NCT02471716,"The Incidence of Investigator-assessed, Confirmed Objective Responses (ORR) Per RECIST 1.1 (Phase 2)",8,32,,,
R4-06,query,NCT02823574,https://clinicaltrials.gov/study/NCT02823574,Objective Response Rate (ORR) as Determined by Blinded Independent Central Review (BIRC) - Platinum Refractory Subgroup,21,159,,,
R4-07,query,NCT03745716,https://clinicaltrials.gov/study/NCT03745716,Complete Response Rate (CR),27,78,,,
R4-08,component,NCT02832167,https://clinicaltrials.gov/study/NCT02832167,Objective Response Rate (ORR),19.0,239.0,,,
R4-09,component,NCT00254410,https://clinicaltrials.gov/study/NCT00254410,Clinical Response Rate at 3 Months,29.0,30.0,,,
R4-10,component,NCT01178944,https://clinicaltrials.gov/study/NCT01178944,Overall Response Rate,8.0,31.0,,,
R4-11,query,NCT03636503,https://clinicaltrials.gov/study/NCT03636503,Number of Participants With Complete Response Per Lugano Criteria,0,6,,,
R4-12,query,NCT02968563,https://clinicaltrials.gov/study/NCT02968563,"Rate of Complete Response/Complete Remission (CR), as Assessed by Investigator Using Modified International Workshop on Chronic Lymphocytic Leukemia (IWCLL) 2008 Criteria at Week 25",0,5,,,
R4-13,query,NCT01731951,https://clinicaltrials.gov/study/NCT01731951,MF Participants: Percentage of Participants With Overall Response (OR) - (Clinical Improvement[CI] or Partial Remission[PR] or Complete Remission[CR]) Per International Working Group - Myeloproliferative Neoplasms Research and Treatment (IWG-MRT) Criteria,7,19,,,
R4-14,component,NCT04439136,https://clinicaltrials.gov/study/NCT04439136,Objective Response Rate (ORR),1.0,37.0,,,
R4-15,component,NCT03456700,https://clinicaltrials.gov/study/NCT03456700,Number of Participants With a Confirmed Tumor Response (Partial Response [PR] or Complete Response [CR] at Least 4 Weeks Apart),0.0,21.0,,,
R4-16,query,NCT02421354,https://clinicaltrials.gov/study/NCT02421354,"Objective Response Rate, Defined as Complete Remission + Partial Remission + Clinical Improvement",0,8,,,
R4-17,query,NCT02078960,https://clinicaltrials.gov/study/NCT02078960,Number of Participants Who Achieved a Major Response at Any Time During Treatment,0,2,,,
R4-18,query,NCT01284348,https://clinicaltrials.gov/study/NCT01284348,Number of Participants Who Experienced a Hematopoietic Response,2,14,,,
R4-19,component,NCT03860844,https://clinicaltrials.gov/study/NCT03860844,Percentage of Participants With Complete Response (CR) Rate,13.0,25.0,,,
R4-20,component,NCT03113500,https://clinicaltrials.gov/study/NCT03113500,"Complete Response (CR) Rate After Cyclophosphamide, Doxorubicin, Etoposide, Prednisone, and Brentuximab Vedotin (CHEP-BV) Induction Therapy",37.0,47.0,,,
R4-21,query,NCT04298983,https://clinicaltrials.gov/study/NCT04298983,Clinical Response Rates,2,2,,,
R4-22,component,NCT05177770,https://clinicaltrials.gov/study/NCT05177770,Number of Participants With Response,0.0,15.0,,,
R4-23,component,NCT03662659,https://clinicaltrials.gov/study/NCT03662659,BICR-Assessed Objective Response Rate (ORR) in Randomized LAG-3 Positive (>=1 %) Participants,47.0,97.0,,,
R4-24,component,NCT03939689,https://clinicaltrials.gov/study/NCT03939689,PSA Response Rate,10.0,39.0,,,
R4-25,query,NCT01720225,https://clinicaltrials.gov/study/NCT01720225,Participants With a Response,49,70,,,
R4-26,component,NCT02265341,https://clinicaltrials.gov/study/NCT02265341,"Clinical Benefit Rate (Percentage), Which Includes Confirmed Tumor Response (Complete Response [CR] or Partial Response [PR]) or Stable Disease (SD)",5.0,11.0,,,
R4-27,query,NCT00090987,https://clinicaltrials.gov/study/NCT00090987,Proportion of Patients Who Achieve a Clinical Response,10,30,,,
R4-28,component,NCT02581137,https://clinicaltrials.gov/study/NCT02581137,Clinical Response to Metformin Intervention,4.0,23.0,,,
R4-29,query,NCT02264613,https://clinicaltrials.gov/study/NCT02264613,Determine Overall Response Rate,2,21,,,
R4-30,component,NCT03698994,https://clinicaltrials.gov/study/NCT03698994,Objective Response Rate (ORR = Complete Response [CR] + Partial Response [PR]) in Pediatric Patients Treated With BVD-523FB (Ulixertinib),0.0,20.0,,,
R4-31,query,NCT01920932,https://clinicaltrials.gov/study/NCT01920932,Percentage of Initially Enrolled Patients That Have a Complete Response at Early Response Assessment Compared to Historical Control,10,32,,,
R4-32,component,NCT02674061,https://clinicaltrials.gov/study/NCT02674061,Objective Response Rate (ORR) Per Response Evaluation Criteria in Solid Tumors Version 1.1 (RECIST 1.1) by Blinded Independent Central Review (BICR) in All Cohort A and Cohort B Participants,23.0,285.0,,,
R4-33,component,NCT02470091,https://clinicaltrials.gov/study/NCT02470091,Response Evaluation Criteria in Solid Tumors (RECIST) Response (Complete Response [CR] or Partial Response [PR] vs Not CR or PR) (Cohort I),0.0,15.0,,,
R4-34,query,NCT01897571,https://clinicaltrials.gov/study/NCT01897571,Objective Response Rate (ORR; Complete Response + Partial Response [CR + PR]) (Phase 2),34,48,,,
R4-35,component,NCT03253679,https://clinicaltrials.gov/study/NCT03253679,Objective Response Rate (ORR),8.0,30.0,,,
R4-36,query,NCT03413995,https://clinicaltrials.gov/study/NCT03413995,Number of Participants With Prostate Specific Antigen (PSA) >=50 Response,5,12,,,
R4-37,query,NCT04761198,https://clinicaltrials.gov/study/NCT04761198,Objective Response Rate (ORR) as Assessed Based on Response Evaluation Criteria in Solid Tumours Version 1.1 (RECIST v1.1),2,10,,,
R4-38,component,NCT03417739,https://clinicaltrials.gov/study/NCT03417739,Overall Response Rate,0.0,13.0,,,
R4-39,query,NCT04085367,https://clinicaltrials.gov/study/NCT04085367,Percentage of Participants With Complete Response at Week 12,92,364,,,
R4-40,query,NCT02078752,https://clinicaltrials.gov/study/NCT02078752,Percentage of Participants With Objective Response (Part 2),1,12,,,
R4-41,query,NCT02272790,https://clinicaltrials.gov/study/NCT02272790,Objective Response Rate (ORR),1,9,,,
R4-42,query,NCT03778229,https://clinicaltrials.gov/study/NCT03778229,Objective Response Rate (ORR) by Investigator Assessment; Target Population Analysis Set,45,80,,,
R4-43,component,NCT02601313,https://clinicaltrials.gov/study/NCT02601313,Percentage of Participants With Objective Response (OR) Per the Lugano Classification According to Independent Radiology Review Committee (IRRC) in Cohort 1,62.0,68.0,,,
R4-44,component,NCT02631577,https://clinicaltrials.gov/study/NCT02631577,"Percentage of Participants Achieving Complete Response (CR) at End of Induction (EOI), as Determined by the Independent Review Committee (IRC) Using Modified Lugano 2014 Criteria",23.0,32.0,,,
R4-45,component,NCT03822468,https://clinicaltrials.gov/study/NCT03822468,Overall Response Rate (ORR),78.0,188.0,,,
R4-46,query,NCT03601897,https://clinicaltrials.gov/study/NCT03601897,Objective Response Rate (ORR) (Part 2 Expansion),0,10,,,
R4-47,component,NCT05513703,https://clinicaltrials.gov/study/NCT05513703,Objective Response Rate (ORR) as Assessed by an Independent Central Review (ICR),3.0,9.0,,,
R4-48,query,NCT03789240,https://clinicaltrials.gov/study/NCT03789240,Proportion of Participants Who Achieve Positron Emission Tomography (PET) - Negative Complete Response,16,33,,,
R4-49,query,NCT02054520,https://clinicaltrials.gov/study/NCT02054520,Clinical Response Rate,2,8,,,
R4-50,component,NCT04524702,https://clinicaltrials.gov/study/NCT04524702,Assessment of Tumor Response to Combination of Paricalcitol and Hydroxychloroquine With Common Front-line Therapy.,3.0,7.0,,,
R4-51,component,NCT03781323,https://clinicaltrials.gov/study/NCT03781323,Proportion of Patients With a Complete Clinical Response.,3.0,11.0,,,
R4-52,query,NCT02315768,https://clinicaltrials.gov/study/NCT02315768,Overall Response Rate of Ibrutinib in Combination With Obinutuzumab,32,32,,,
R4-53,component,NCT02100696,https://clinicaltrials.gov/study/NCT02100696,"Maintenance Phase: Percentage of Participants With Remission at Week 66 Among Participants Who Had Achieved a Clinical Response at Week 14, as Determined by the MCS",27.0,112.0,,,
R4-54,query,NCT03390296,https://clinicaltrials.gov/study/NCT03390296,Number of Participants With a Response,0,4,,,
R4-55,component,NCT03644186,https://clinicaltrials.gov/study/NCT03644186,Pathological Complete Response (pCR),24.0,73.0,,,
R4-56,component,NCT03726879,https://clinicaltrials.gov/study/NCT03726879,Percentage of Participants With Pathological Complete Response (pCR) in the PD-L1-Positive Population (IC 1/2/3),70.0,109.0,,,
R4-57,component,NCT03112174,https://clinicaltrials.gov/study/NCT03112174,Complete Response (CR) Rate (Treatment-Naive Arm),54.0,78.0,,,
