query_nct_id,query_title,candidate_rank,candidate_nct_id,candidate_title,pipeline_suitability,pipeline_score,pipeline_discount,disease_population_match,treatment_regimen_match,endpoint_estimand_match,design_phase_match,result_usability,red_flags,reviewer_disease_population_0_2,reviewer_regimen_0_2,reviewer_endpoint_0_2,reviewer_design_0_2,reviewer_result_usable_0_2,reviewer_overall_borrowability,reviewer_notes
NCT03180307,OTL38 for Intra-operative Imaging of Folate Receptor Positive Ovarian Cancer,1,NCT03951077,Study of the Safety and Efficacy of Elagolix in Women With Polycystic Ovary Syndrome,medium,69.33,0.4,3.5,0.0,5.0,4.3,5.0,Line of therapy was not normalized from available text.; Low treatment-regimen match.,,,,,,,
NCT03180307,OTL38 for Intra-operative Imaging of Folate Receptor Positive Ovarian Cancer,2,NCT03382574,Pilot Study of Denosumab in BRCA1/2 Mutation Carriers Scheduled for Risk-Reducing Salpingo-Oophorectomy,medium,65.16,0.4,3.5,0.0,5.0,3.5,3.0,Line of therapy was not normalized from available text.; Low treatment-regimen match.; No arm-level count/denominator pair found for primary borrowable quantities.,,,,,,,
NCT03180307,OTL38 for Intra-operative Imaging of Folate Receptor Positive Ovarian Cancer,3,NCT04598321,BrUOG 390: Neoadjuvant Treatment With Talazoparib,medium,63.61,0.4,3.5,0.0,5.0,0.5,5.0,Low treatment-regimen match.,,,,,,,
NCT02058706,LHRH Analogue Therapy With Enzalutamide or Bicalutamide in Treating Patients With Hormone Sensitive Prostate Cancer,1,NCT03279250,Apalutamide and Gonadotropin-Releasing Hormone Analog With or Without Abiraterone Acetate in Treating Participants With Prostate Cancer,medium,70.54,0.4,3.5,0.0,5.0,5.0,5.0,Line of therapy was not normalized from available text.; Low treatment-regimen match.,,,,,,,
NCT02058706,LHRH Analogue Therapy With Enzalutamide or Bicalutamide in Treating Patients With Hormone Sensitive Prostate Cancer,2,NCT02059213,A Phase II Study of Androgen Deprivation Therapy With or Without Palbociclib in RB-Positive Metastatic Prostate Cancer,medium,70.52,0.4,3.5,0.0,5.0,5.0,5.0,Line of therapy was not normalized from available text.; Low treatment-regimen match.,,,,,,,
NCT02058706,LHRH Analogue Therapy With Enzalutamide or Bicalutamide in Treating Patients With Hormone Sensitive Prostate Cancer,3,NCT01946165,Abiraterone Acetate Plus LHRH Agonist and Abiraterone Acetate Plus LHRH Agonist and Enzalutamide,medium,70.52,0.4,3.5,0.0,5.0,5.0,5.0,Line of therapy was not normalized from available text.; Low treatment-regimen match.,,,,,,,
NCT03056339,Umbilical & Cord Blood (CB) Derived CAR-Engineered NK Cells for B Lymphoid Malignancies,1,NCT04432506,Anakinra for the Reduction of CAR-T Toxicity in Patients With Relapsed or Refractory Large B-cell Lymphoma,medium,68.23,0.4,2.0,1.5,5.0,4.3,5.0,Cancer histology was not normalized from available text.,,,,,,,
NCT03056339,Umbilical & Cord Blood (CB) Derived CAR-Engineered NK Cells for B Lymphoid Malignancies,2,NCT03323034,"Pevonedistat, Irinotecan, and Temozolomide in Treating Patients With Recurrent or Refractory Solid Tumors or Lymphoma",medium,68.19,0.4,2.0,1.5,5.0,4.3,5.0,Cancer histology was not normalized from available text.,,,,,,,
NCT03056339,Umbilical & Cord Blood (CB) Derived CAR-Engineered NK Cells for B Lymphoid Malignancies,3,NCT02227199,"Brentuximab Vedotin, Ifosfamide, Carboplatin, and Etoposide in Treating Patients With Relapsed or Refractory Hodgkin Lymphoma",medium,66.98,0.4,2.0,1.5,5.0,3.5,5.0,,,,,,,,
NCT04434937,"Open-Label Study of Parsaclisib, in Japanese Participants With Relapsed or Refractory Follicular Lymphoma (CITADEL-213)",1,NCT02953652,Efficacy and Safety of Oral HBI-8000 in Patients With Relapsed or Refractory Peripheral T-cell Lymphoma (PTCL),medium,63.9,0.4,2.0,0.0,5.0,5.0,5.0,Cancer histology was not normalized from available text.; Low treatment-regimen match.,,,,,,,
NCT04434937,"Open-Label Study of Parsaclisib, in Japanese Participants With Relapsed or Refractory Follicular Lymphoma (CITADEL-213)",2,NCT02927925,"A Study to Assess the Clinical Efficacy and Safety of Daratumumab in Participants With Relapsed or Refractory Natural Killer/T-Cell Lymphoma (NKTCL), Nasal Type",medium,63.83,0.4,2.0,0.0,5.0,5.0,5.0,Cancer histology was not normalized from available text.; Low treatment-regimen match.,,,,,,,
NCT04434937,"Open-Label Study of Parsaclisib, in Japanese Participants With Relapsed or Refractory Follicular Lymphoma (CITADEL-213)",3,NCT02038946,Study of Nivolumab in Subjects With Relapsed or Refractory Follicular Lymphoma (FL) (CheckMate 140),medium,63.8,0.4,2.0,0.0,5.0,5.0,5.0,Cancer histology was not normalized from available text.; Low treatment-regimen match.,,,,,,,
NCT05287113,Study of Retinfanlimab in Combination With INCAGN02385 and INCAGN02390 as First-Line Treatment in Participants With PD-L1-Positive (CPS ≥ 1) Recurrent/Metastatic Squamous Cell Carcinoma of the Head and Neck,1,NCT02432846,Intratumoral Vaccination With Intuvax Pre-nephrectomy Followed by Sunitinib Post-nephrectomy vs Sunitinib Post-nephrectomy in Newly Diagnosed Metastatic Renal Cell Carcinoma (mRCC),low,58.07,0.15,0.75,0.0,5.0,5.0,5.0,Cancer histology was not normalized from available text.; Low disease/population match.; Low treatment-regimen match.,,,,,,,
NCT05287113,Study of Retinfanlimab in Combination With INCAGN02385 and INCAGN02390 as First-Line Treatment in Participants With PD-L1-Positive (CPS ≥ 1) Recurrent/Metastatic Squamous Cell Carcinoma of the Head and Neck,2,NCT05079230,Study of Magrolimab Versus Placebo in Combination With Venetoclax and Azacitidine in Participants With Acute Myeloid Leukemia,low,57.05,0.15,0.75,0.0,5.0,4.3,5.0,Low disease/population match.; Low treatment-regimen match.,,,,,,,
NCT05287113,Study of Retinfanlimab in Combination With INCAGN02385 and INCAGN02390 as First-Line Treatment in Participants With PD-L1-Positive (CPS ≥ 1) Recurrent/Metastatic Squamous Cell Carcinoma of the Head and Neck,3,NCT02369874,Study of MEDI4736 Monotherapy and in Combination With Tremelimumab Versus Standard of Care Therapy in Patients With Head and Neck Cancer,low,57.04,0.15,0.75,0.0,5.0,4.3,5.0,Cancer histology was not normalized from available text.; Line of therapy was not normalized from available text.; Low disease/population match.; Low treatment-regimen match.,,,,,,,
