row_type,nct_id,registry_link,reported_unit,extracted_responders,extracted_denominator,extracted_rate,appears_in_query,oversampled_because,audit_endpoint_mapping_ok,audit_arm_identification_ok,audit_numerator_ok,audit_denominator_ok,audit_analysis_population_ok,audit_orr_definition_ok,auditor_notes
donor_observation,NCT03144804,https://clinicaltrials.gov/study/NCT03144804,participants,0,32,0.0,NCT00248287,top-shared donor,,,,,,,
donor_observation,NCT04284774,https://clinicaltrials.gov/study/NCT04284774,percentage of patients,0,5,0.0,NCT00452023,top-shared donor,,,,,,,
donor_observation,NCT04195555,https://clinicaltrials.gov/study/NCT04195555,percentage of participants,0,2,0.0,NCT00452023,top-shared donor,,,,,,,
donor_observation,NCT03331250,https://clinicaltrials.gov/study/NCT03331250,Participants,4,12,0.3333,NCT00452023,top-shared donor,,,,,,,
donor_observation,NCT04230304,https://clinicaltrials.gov/study/NCT04230304,proportion of participants,3,8,0.375,NCT01258933,top-shared donor,,,,,,,
donor_observation,NCT03781960,https://clinicaltrials.gov/study/NCT03781960,Participants,1,7,0.1429,NCT01428635,top-shared donor,,,,,,,
donor_observation,NCT03840967,https://clinicaltrials.gov/study/NCT03840967,Percentage of participants,0,11,0.0,NCT01712308,top-shared donor,,,,,,,
donor_observation,NCT04197310,https://clinicaltrials.gov/study/NCT04197310,percentage of participants,0,19,0.0,NCT01928576,top-shared donor,,,,,,,
donor_observation,NCT04552223,https://clinicaltrials.gov/study/NCT04552223,percentage of participants,2,26,0.0769,NCT01928576,top-shared donor,,,,,,,
donor_observation,NCT03502746,https://clinicaltrials.gov/study/NCT03502746,Percentage of participants,7,33,0.2121,NCT02335411,top-shared donor,,,,,,,
donor_observation,NCT03442569,https://clinicaltrials.gov/study/NCT03442569,percentage of participants,16,49,0.3265,NCT03428126,percentage-derived,,,,,,,
donor_observation,NCT02453594,https://clinicaltrials.gov/study/NCT02453594,Percentage of participants,54,69,0.7826,NCT02061761,percentage-derived,,,,,,,
donor_observation,NCT04191616,https://clinicaltrials.gov/study/NCT04191616,percentage of participants,30,52,0.5769,NCT02180711,percentage-derived,,,,,,,
donor_observation,NCT03194867,https://clinicaltrials.gov/study/NCT03194867,percentage of participants,4,34,0.1176,NCT03648372,percentage-derived,,,,,,,
donor_observation,NCT06400238,https://clinicaltrials.gov/study/NCT06400238,percentage of participants,1,29,0.0345,NCT05490771,percentage-derived,,,,,,,
donor_observation,NCT01723839,https://clinicaltrials.gov/study/NCT01723839,Percentage of Participants,9,20,0.45,NCT04487106,percentage-derived,,,,,,,
donor_observation,NCT03557918,https://clinicaltrials.gov/study/NCT03557918,Percentage of participants,2,24,0.0833,NCT02272998,percentage-derived,,,,,,,
donor_observation,NCT03499808,https://clinicaltrials.gov/study/NCT03499808,percentage of paticipants,27,35,0.7714,NCT02272998,percentage-derived,,,,,,,
donor_observation,NCT03003520,https://clinicaltrials.gov/study/NCT03003520,percentage of participants,20,37,0.5405,NCT00001337,percentage-derived,,,,,,,
donor_observation,NCT04204057,https://clinicaltrials.gov/study/NCT04204057,percentage of participants,7,21,0.3333,NCT02604511,percentage-derived,,,,,,,
donor_observation,NCT03712930,https://clinicaltrials.gov/study/NCT03712930,Percentage of participants,0,12,0.0,NCT02854436,percentage-derived,,,,,,,
donor_observation,NCT04091217,https://clinicaltrials.gov/study/NCT04091217,Percentage of participants,18,40,0.45,NCT03999749,percentage-derived,,,,,,,
donor_observation,NCT01848834,https://clinicaltrials.gov/study/NCT01848834,Percentage of Participants,5,32,0.1562,NCT02499835,percentage-derived,,,,,,,
donor_observation,NCT02055820,https://clinicaltrials.gov/study/NCT02055820,Percentage of participants,144,211,0.6825,NCT01775475,percentage-derived,,,,,,,
donor_observation,NCT02554812,https://clinicaltrials.gov/study/NCT02554812,Percentage of participants,3,28,0.1071,NCT03330405,percentage-derived,,,,,,,
donor_observation,NCT03117361,https://clinicaltrials.gov/study/NCT03117361,percentage of participants,1,8,0.125,NCT03361306,percentage-derived,,,,,,,
donor_observation,NCT03774082,https://clinicaltrials.gov/study/NCT03774082,Percentage of participants,8,22,0.3636,NCT04083976,percentage-derived,,,,,,,
donor_observation,NCT03189524,https://clinicaltrials.gov/study/NCT03189524,Percentage of Participants,7,23,0.3043,NCT04282018,percentage-derived,,,,,,,
donor_observation,NCT04995419,https://clinicaltrials.gov/study/NCT04995419,percentage of participants,15,40,0.375,NCT03837899,percentage-derived,,,,,,,
donor_observation,NCT01282424,https://clinicaltrials.gov/study/NCT01282424,percentage of participants,72,125,0.576,NCT00923013,percentage-derived,,,,,,,
donor_observation,NCT04004221,https://clinicaltrials.gov/study/NCT04004221,Percentage of participants,25,104,0.2404,NCT02867592,percentage-derived,,,,,,,
donor_observation,NCT04189445,https://clinicaltrials.gov/study/NCT04189445,percentage of participants,6,87,0.069,NCT02920996,percentage-derived,,,,,,,
donor_observation,NCT02627677,https://clinicaltrials.gov/study/NCT02627677,percentage of participants,5,10,0.5,NCT04045613,percentage-derived,,,,,,,
donor_observation,NCT05993299,https://clinicaltrials.gov/study/NCT05993299,percentage of participants,4,5,0.8,NCT01316523,percentage-derived,,,,,,,
donor_observation,NCT04695977,https://clinicaltrials.gov/study/NCT04695977,Percentage of participants,8,11,0.7273,NCT05578872,percentage-derived,,,,,,,
donor_observation,NCT01691898,https://clinicaltrials.gov/study/NCT01691898,percentage of participants,25,42,0.5952,NCT02180711,percentage-derived,,,,,,,
donor_observation,NCT04439188,https://clinicaltrials.gov/study/NCT04439188,percentage of participants,0,32,0.0,NCT04364620,percentage-derived,,,,,,,
donor_observation,NCT03584009,https://clinicaltrials.gov/study/NCT03584009,Percentage of Participants,6,51,0.1176,NCT02860000,percentage-derived,,,,,,,
