row_type,nct_id,registry_link,reported_unit,extracted_responders,extracted_denominator,extracted_rate,appears_in_query,oversampled_because,audit_endpoint_mapping_ok,audit_arm_identification_ok,audit_numerator_ok,audit_denominator_ok,audit_analysis_population_ok,audit_orr_definition_ok,auditor_notes
donor_observation,NCT03144804,https://clinicaltrials.gov/study/NCT03144804,participants,0,32,0.0,NCT00248287,top-shared donor,yes,yes,yes,yes,yes,yes,"Verified vs registry: 'Overall Response Rate' (PRIMARY), arm 'Lamivudine': 0, denom 32; matches extracted 0/32."
donor_observation,NCT04284774,https://clinicaltrials.gov/study/NCT04284774,percentage of patients,0,5,0.0,NCT00452023,top-shared donor,yes,yes,yes,yes,yes,yes,"Verified vs registry: 'Objective Response Rate (Complete Response + Partial Response) in Pediatric Pati' (PRIMARY), arm 'Treatment (Tipifarnib)': 0%, denom 5; matches extracted 0/5."
donor_observation,NCT04195555,https://clinicaltrials.gov/study/NCT04195555,percentage of participants,0,2,0.0,NCT00452023,top-shared donor,yes,yes,yes,yes,yes,yes,"ORR (CR+PR, RECIST 1.1) pediatric ivosidenib. 0% of 2. Denominator = evaluable (1 enrolled patient excluded for receiving no protocol therapy)."
donor_observation,NCT03331250,https://clinicaltrials.gov/study/NCT03331250,Participants,4,12,0.3333,NCT00452023,top-shared donor,yes,yes,yes,no,no,yes,"Registry ORR (RECIST 1.1, CR+PR): 4 responders in 'Overall' (denom 13 = 10 angiosarcoma + 3 EHE; enrollment 13). Extracted denominator 12 not found anywhere in posted results; correct rate 4/13=0.308, not 0.333."
donor_observation,NCT04230304,https://clinicaltrials.gov/study/NCT04230304,proportion of participants,3,8,0.375,NCT01258933,top-shared donor,yes,yes,yes,yes,yes,yes,"Registry reports 0.375 as proportion (0-1 scale), denom 8 -> 3 responders; extraction correct. ORR per CLL-type criteria (CR/CRi/CCR/nPR/PR) at Cycle 7 landmark."
donor_observation,NCT03781960,https://clinicaltrials.gov/study/NCT03781960,Participants,1,7,0.1429,NCT01428635,top-shared donor,yes,yes,yes,yes,yes,yes,"Verified vs registry: 'Objective Response Rate' (PRIMARY), arm 'Abemaciclib & Nivolumab': 1, denom 7; matches extracted 1/7."
donor_observation,NCT03840967,https://clinicaltrials.gov/study/NCT03840967,Percentage of participants,0,11,0.0,NCT01712308,top-shared donor,yes,yes,yes,yes,yes,yes,ORR (RECIST): 0% of 11 evaluable (3 of 14 not evaluable for best response). Matches registry.
donor_observation,NCT04197310,https://clinicaltrials.gov/study/NCT04197310,percentage of participants,0,19,0.0,NCT01928576,top-shared donor,yes,yes,yes,yes,yes,yes,"Verified vs registry: 'Objective Response Rate (ORR)' (PRIMARY), arm 'Nivolumab + Cabozantinib': 0%, denom 19; matches extracted 0/19."
donor_observation,NCT04552223,https://clinicaltrials.gov/study/NCT04552223,percentage of participants,2,26,0.0769,NCT01928576,top-shared donor,yes,yes,yes,yes,yes,yes,ORR (RECIST 1.1): 7.7% x 26 = 2.0; matches. Analysis population restricted to participants completing >=2 treatment cycles.
donor_observation,NCT03502746,https://clinicaltrials.gov/study/NCT03502746,Percentage of participants,7,33,0.2121,NCT02335411,top-shared donor,yes,yes,yes,unclear,no,yes,"Registry 'Response Rate' (RECIST): 22.6% (CI 9.6-41.1) with posted denom 33. But 22.6% implies 7/31 (evaluable), not 7/33=21.2%; registry percentage and posted denominator are internally inconsistent. Extracted y=7 consistent with sponsor's rate; extracted rate 0.2121 != reported 0.226."
donor_observation,NCT03442569,https://clinicaltrials.gov/study/NCT03442569,percentage of participants,16,49,0.3265,NCT03428126,percentage-derived,yes,yes,unclear,yes,yes,yes,"Registry ORR: 32% (CI 21-45), denom 49. 32% x 49 = 15.7; 16/49=32.7% (rounds to 33), 15/49=30.6%. True count not exactly recoverable from integer-rounded percentage (could be 16 with truncation, or denominator 50). Extracted y=16 plausible but unverifiable."
donor_observation,NCT02453594,https://clinicaltrials.gov/study/NCT02453594,Percentage of participants,54,69,0.7826,NCT02061761,percentage-derived,yes,yes,yes,yes,yes,yes,"Verified vs registry: 'Overall Response Rate (ORR) by BICR Based on IWG Criteria' (PRIMARY), arm 'Cohort 1': 78.3%, denom 69; matches extracted 54/69."
donor_observation,NCT04191616,https://clinicaltrials.gov/study/NCT04191616,percentage of participants,30,52,0.5769,NCT02180711,percentage-derived,yes,yes,yes,yes,yes,yes,"ORR by IRC, myeloma IMWG-type response (>=PR incl CR/sCR/VGPR) - disease-appropriate ORR. 57.7% x 52 = 30.0."
donor_observation,NCT03194867,https://clinicaltrials.gov/study/NCT03194867,percentage of participants,4,34,0.1176,NCT03648372,percentage-derived,yes,yes,yes,yes,yes,yes,"ORR per IMWG (>=PR incl sCR/VGPR/CR), Phase 2 isatuximab arm. 11.8% x 34 = 4.0; randomized Phase 2 population."
donor_observation,NCT06400238,https://clinicaltrials.gov/study/NCT06400238,percentage of participants,1,29,0.0345,NCT05490771,percentage-derived,yes,yes,yes,yes,yes,yes,"Verified vs registry: 'Objective Response Rate (ORR)' (PRIMARY), arm 'Treatment (Copanlisib)': 3.4%, denom 29; matches extracted 1/29."
donor_observation,NCT01723839,https://clinicaltrials.gov/study/NCT01723839,Percentage of Participants,9,20,0.45,NCT04487106,percentage-derived,yes,yes,yes,yes,yes,no,"Endpoint is 'Complete Response' rate only (FCR+lenalidomide, CLL) - CR without PR. Not ORR (CR+PR); using it as ORR underestimates response. Data entry itself correct: 45% x 20 = 9. Denominator = 20 evaluable of 21 enrolled."
donor_observation,NCT03557918,https://clinicaltrials.gov/study/NCT03557918,Percentage of participants,2,24,0.0833,NCT02272998,percentage-derived,yes,yes,yes,yes,yes,yes,ORR (RECIST): 8.3% x 24 = 2.0; denominator = 24 evaluable of 26 (2 not evaluable). Matches registry.
donor_observation,NCT03499808,https://clinicaltrials.gov/study/NCT03499808,percentage of paticipants,27,35,0.7714,NCT02272998,percentage-derived,yes,yes,yes,yes,yes,yes,"Confirmed overall hematologic response (>=PR: PR/VGPR/CR) in AL amyloidosis, dFLC criteria - disease-appropriate ORR analog, not RECIST. 77.1% x 35 = 27."
donor_observation,NCT03003520,https://clinicaltrials.gov/study/NCT03003520,percentage of participants,20,37,0.5405,NCT00001337,percentage-derived,yes,yes,yes,yes,yes,no,"Endpoint is CR rate at end of induction (IWG 2014, DLBCL), not ORR (CR+PR). Data entry correct: 54.1% x 37 = 20; efficacy-evaluable population."
