p_comparable,method,n_replicates,reject_rate,reject_rate_mcse,effect_bias,effect_bias_mcse,effect_rmse,control_bias,control_bias_mcse,effect_coverage95,effect_coverage95_mcse,prior_ess,prior_ess_mcse,roc_auc,roc_auc_mcse,sensitivity,specificity,fpr,ppv,fpr_mcse,oracle_spearman,roc_auc_obs
0.25,internal_only,2000,0.016,0.0028057084666800293,-0.012612557345214142,0.002151308702741123,0.09700879724350371,0.02182507709586428,0.0017867092315619333,0.9545,0.004659922209651143,0.0,0.0,0.5,0.0,0.0,1.0,0.0,nan,0.0,nan,0.5
0.25,eb_only,2000,0.016,0.0028057084666800293,0.014039492749635602,0.0012416299079054996,0.057261290312476405,-0.004826972998985464,0.00036066461733990116,0.9765,0.0033873108803297025,0.0,0.0,0.5,0.0,0.0,1.0,0.0,nan,0.0,nan,0.5
0.25,rule,2000,0.0335,0.004023540107914919,0.017175191333910645,0.0018209358469173588,0.08320628646427582,-0.007962671583260512,0.0013799494748394355,0.957,0.004536022486716751,18.777381506870917,0.09701350268104457,0.6401629097947815,0.005165148440541278,0.8109111152347375,0.40368599215517703,0.596314007844823,0.28251874838376,0.0035964538434209107,0.21288227635254628,0.5861404608505963
0.25,two_head,2000,0.048,0.0047799581588126895,0.02710235812921588,0.001774303892317269,0.08383136803396687,-0.017889838378565743,0.0013198715116105378,0.9455,0.005075911248239078,61.069106670833754,0.3889249570334173,0.6407698234841559,0.005246890100517693,0.7710150306179254,0.4306592875181344,0.5693407124818656,0.28167581858857027,0.00362967862966186,0.21540176430761832,0.5825307671744618
0.25,two_head_pro,2000,0.05,0.004873397172404482,0.030267073524485603,0.0017644703911337334,0.08449670944096398,-0.021054553773835465,0.0013041655824819567,0.944,0.005141206084179083,56.743212304125024,0.3377566309372585,0.6021394424486701,0.0053868994443625785,0.7533865281128224,0.4239428295094299,0.5760571704905701,0.2746769501386916,0.003622443212329558,0.15786066109974797,0.5504314278545649
0.25,two_head_pro_sam,2000,0.05,0.004873397172404482,0.025768011636703655,0.0019249037341453278,0.0898375975901895,-0.016555491886053517,0.0015092175543882764,0.934,0.005551756478809205,53.897146594258416,0.3877819437783387,0.6021394424486701,0.0053868994443625785,0.7533865281128224,0.4239428295094299,0.5760571704905701,0.2746769501386916,0.003622443212329558,0.15786066109974797,0.5504314278545649
0.25,two_head_pro_fixdisc,2000,0.038,0.004275277768753745,0.023101336328178717,0.001784867330500036,0.08307820871764626,-0.01388881657752858,0.0013316864681013935,0.954,0.0046842288586276416,22.579558812112147,0.1641880010510622,0.567048343538854,0.005329164887585817,0.6728521061421414,0.45988931277201656,0.5401106872279835,0.26509723643807576,0.0036532819359966413,0.11606445604690296,0.519208319641488
0.25,selective_pro,2000,0.016,0.0028057084666800293,0.014039492749635658,0.0012416299079055007,0.05726129031247646,-0.004826972998985522,0.0003606646173399045,0.9765,0.0033873108803297025,1.0946765638493515e-13,2.902813284563484e-15,0.6473020398134927,0.005225355117629344,0.7934681759138987,0.44865939498146257,0.5513406050185374,0.29414597234642637,0.0036457217386500432,0.22628465759686414,0.5914606827224075
0.25,selective_pro_sam,2000,0.016,0.0028057084666800293,0.014039492749635656,0.0012416299079055007,0.05726129031247646,-0.00482697299898552,0.00036066461733990447,0.9765,0.0033873108803297025,8.009768421039458e-14,2.2270478660152693e-15,0.6473020398134927,0.005225355117629344,0.7934681759138987,0.44865939498146257,0.5513406050185374,0.29414597234642637,0.0036457217386500432,0.22628465759686414,0.5914606827224075
0.25,robust_map_w0.5,2000,0.024,0.00342227994179319,0.009222803798782925,0.0018632529438302658,0.08381534145824651,-1.0284048132787937e-05,0.0014302247851320916,0.9615,0.004302194207610808,10.322252286729894,0.13065340141409942,0.5,0.0,1.0,0.0,1.0,0.22454166666666667,0.0,nan,0.5
0.25,power_prior,2000,0.179,0.008572018432084709,0.05794864874386965,0.001332250544573099,0.08310267159819539,-0.048736128993219524,0.0006051827438073778,0.818,0.008627745939699432,227.6163,0.8778226093133572,0.5,0.0,1.0,0.0,1.0,0.22454166666666667,0.0,nan,0.5
0.25,uip_dirichlet,2000,0.0455,0.004659922209651144,0.03163608757404499,0.0017091804920699649,0.08270741591890796,-0.022423567823394854,0.001220310019502792,0.949,0.004919298730510276,14.295092533063944,0.13682110177251122,0.5010237094203063,0.002029381823886721,0.9968454258675079,0.0030089731878996293,0.9969910268121004,0.22451623688719857,0.000401485559339136,0.038974603627896114,0.501070560533497
