method,example_count,mean_nll,mean_nll_minus_rule,mean_predictive_probability,mean_historical_mass
commensurate_like,1407,3.0325166989920307,0.022550008703797975,0.09791055845362498,0.7886282871357294
fixed_discount,1407,2.991566628601305,-0.01840006168692776,0.10150591528773095,0.7886282871357294
map_like,1407,3.221931166503101,0.21196447621486847,0.08400821390892711,0.7886282871357294
model,1407,2.8956785781020113,-0.11428811218622137,0.11647292413615029,0.7886282871357294
model_sam,1407,2.793790764571364,-0.21617592571686872,0.12096652335708004,0.6965554426625027
power_prior_like,1407,3.2268631528180856,0.21689646252985284,0.0856917243050924,0.7886282871357294
rule,1407,3.0099666902882327,0.0,0.09900206483500484,0.7886282871357294
rule_sam,1407,2.900568643960389,-0.10939804632784389,0.1031829640161434,0.6857692192974543
two_head,1407,2.8956785781020113,-0.11428811218622137,0.11647292413615029,0.7886282871357294
two_head_sam,1407,2.793790764571364,-0.21617592571686872,0.12096652335708004,0.6965554426625027
two_head_trained,1407,2.895678911911484,-0.11428777837674886,0.11647291840177261,nan
weak_only,1407,3.164050940588215,0.15408425029998218,0.07986785896935088,0.0
